Tentu, saya akan menyusun uraian error berdasarkan daftar lengkap yang Anda berikan, disajikan dalam format Markdown (`.md`) yang sesuai untuk dokumentasi proyek.

-----

```markdown
# 📝 Dokumentasi Analisis Error — Tugas Proyek J.620100.016.01 & J.620100.017.02

Dokumentasi ini menguraikan sembilan (9) error dan isu yang teridentifikasi pada kode sumber PHP dan SQL yang diberikan, meliputi masalah sintaks, logika, keamanan, dan konfigurasi.

---

## Daftar Error Teridentifikasi dan Solusinya

### Error 1 — Tag DOCTYPE Tidak Benar

| Kategori | Detail |
| :--- | :--- |
| **Pesan Error** | (Tidak fatal, namun menyebabkan HTML tidak valid). |
| **Jenis** | Format / Markup |
| **File** | `form-daftar.php` |
| **Letak** | Baris paling atas (`<DOCTYPE >`) |
| **Penyebab** | Deklarasi DOCTYPE tidak valid; harus diikuti oleh `html`. |
| **Perbaikan** | Ganti dengan `<!DOCTYPE html>` dan tambahkan `<meta charset="utf-8">` di dalam `<head>` untuk standar modern. |

### Error 2 — Variabel PHP Tidak Dideklarasikan (`$sekolah`)

| Kategori | Detail |
| :--- | :--- |
| **Pesan Error** | `Notice: Undefined variable: sekolah in proses-pendaftaran-2.php on line X` |
| **Jenis** | Undefined Variable / Logic |
| **File** | `proses-pendaftaran-2.php` |
| **Letak** | [cite_start]Penugasan variabel `sekolah = $_POST['sekolah_asal'];` [cite: 70] |
| **Penyebab** | Hilangnya tanda dolar (`$`) di depan variabel `$sekolah` saat pendefinisian. |
| **Perbaikan** | Gunakan `$sekolah = $_POST['sekolah_asal'];` dan pastikan nama variabel konsisten di seluruh skrip. |

### Error 3 — SQL Keyword `VALUE` (Bukan `VALUES`)

| Kategori | Detail |
| :--- | :--- |
| **Pesan Error** | MySQL Error (Syntax) atau *query* gagal. |
| **Jenis** | SQL Syntax / Logic |
| **File** | `proses-pendaftaran-2.php` |
| **Letak** | [cite_start]Query `INSERT ... VALUE (...)` [cite: 72] |
| **Penyebab** | *Keyword* standar yang benar untuk penyisipan data adalah `VALUES`, bukan `VALUE`. |
| **Perbaikan** | Gunakan `VALUES` dan **Wajib** terapkan *Prepared Statements* untuk mencegah Error 4. |

### Error 4 — Potensi SQL Injection (Keamanan)

| Kategori | Detail |
| :--- | :--- |
| **Pesan Error** | Tidak ada pesan langsung, namun aplikasi **rentan** diserang. |
| **Jenis** | Security (SQL Injection) |
| **File** | `proses-pendaftaran-2.php` |
| **Penyebab** | [cite_start]Langsung menyisipkan variabel ke dalam *string* SQL tanpa proses *escaping* atau *binding* parameter. [cite: 72, 73] |
